,coordL,coordW,isLight,isDry,isClear,isCloudy,is_pedestrian,is_adjustable
156,37.714391,55.793869,1,0,0,1,1,0
157,37.441052,55.631551,0,0,0,1,0,0
158,37.80329,55.753673,0,0,0,1,0,1
159,37.861172,55.730916,0,1,0,0,0,0
160,37.446867,55.882112,0,0,0,0,0,0
161,37.745998,55.675449,0,0,0,1,0,0
162,37.461169,55.725684,0,0,0,1,1,0
163,37.623914,55.721019,1,1,0,1,1,0
164,37.636639,55.599887,0,1,0,1,1,0
165,37.39289,55.609311,0,1,1,0,1,0
166,37.583821,55.798603,0,1,0,1,0,0
167,37.398405,55.81173,0,0,0,1,1,1
168,37.440344,55.751922,0,0,0,1,0,0
169,37.582887,55.748716,0,1,0,1,0,0
170,37.562653,55.859767,0,1,0,1,1,0
171,37.596406,55.742683,0,0,0,1,1,1
172,37.595987,55.581316,1,1,0,1,0,0
173,37.625309,55.67825,0,1,0,1,0,0
174,37.533138,55.546316,1,1,0,1,1,0
175,37.580774,55.807805,1,1,0,1,1,0
176,37.721204,55.777599,1,1,0,1,1,0
177,37.538674,55.907979,0,0,1,0,1,0
178,37.213794,55.995789,1,0,0,1,0,0
179,37.62974,55.792156,0,1,1,0,0,0
180,37.510543,55.616789,0,0,0,1,0,0
181,37.617198,55.758153,1,1,1,0,0,0
182,37.582866,55.746481,0,1,0,1,1,0
183,37.817388,55.71164,0,1,0,1,1,0
184,37.588198,55.706315,0,1,0,1,0,0
185,37.751663,55.660043,1,1,0,1,1,0
186,37.247933,55.736951,0,0,0,1,1,0
187,37.332305,55.499909,0,0,0,1,1,1
188,37.425667,55.67125,1,0,0,1,0,0
189,37.607414,55.863289,0,0,0,1,0,0
190,37.513182,55.746155,1,0,0,1,1,0
191,37.724154,55.684027,1,1,0,1,0,0
192,37.572641,55.805984,0,0,0,1,0,1
193,37.537816,55.786993,0,0,0,1,0,0
194,37.215811,55.574421,1,0,0,1,0,0
195,37.164989,55.977046,1,0,0,1,0,0
196,37.438799,55.668261,1,0,0,0,0,0
197,37.520607,55.658923,1,0,0,0,1,0
198,37.678385,55.852071,1,0,1,0,0,1
199,37.699918,55.757899,0,0,0,0,0,0
200,37.648033,55.826733,0,0,0,1,0,1
201,37.633517,55.790123,0,0,0,1,0,1
202,37.782229,55.668225,1,0,0,0,1,0
203,37.727394,55.590824,1,0,0,1,0,0
204,37.603401,55.763422,0,0,0,1,1,0
205,37.586675,55.890939,0,0,0,1,1,0
206,37.577845,55.813123,0,0,0,1,1,1
207,37.900536,55.720186,1,1,1,0,0,0
208,37.521368,55.534951,0,0,0,1,1,1
209,37.718736,55.782227,0,0,0,1,0,0
210,37.671132,55.850776,0,0,0,1,0,1
211,37.593702,55.57621,1,0,0,1,0,0
212,37.550669,55.774033,0,1,0,1,0,1
213,37.444925,55.686156,0,0,0,1,0,0
214,37.41173,55.623998,0,0,0,1,0,0
215,37.627562,55.721291,0,0,0,1,1,1
216,37.675885,55.681093,0,0,0,1,1,1
217,37.633109,55.896203,0,1,0,1,1,0
218,37.492036,55.624422,0,0,0,1,0,0
219,37.377323,55.844434,1,0,0,1,0,0
220,37.583059,55.727726,1,0,0,1,0,0
221,37.394929,55.924153,1,1,1,0,0,0
222,37.573972,55.542437,1,0,0,1,1,0
223,37.799342,55.657531,1,0,0,1,1,0
224,37.691066,55.754772,1,0,0,1,1,0
225,37.617831,55.720246,1,0,0,1,1,1
226,37.735891,55.699272,0,1,0,1,0,0
227,37.497228,55.606833,0,1,0,1,0,0
228,37.584143,55.742417,1,1,0,1,0,0
229,37.528986,55.738624,0,1,0,1,0,0
230,37.542204,55.53704,1,0,0,1,1,0
231,37.774515,55.671371,0,0,0,1,1,0
232,37.775631,55.715363,0,1,0,1,1,1
233,37.321351,55.59999,0,0,0,1,0,0
234,37.538599,55.796269,0,0,0,1,0,0
235,37.507721,55.78949,0,0,0,1,1,0
236,37.544113,55.863952,0,0,0,1,0,0
237,37.545691,55.872909,0,0,0,1,1,0
238,37.514083,55.777605,0,0,0,1,0,0
239,37.681164,55.682726,0,0,0,1,1,0
240,37.832794,55.703286,1,1,0,1,0,0
241,37.52655,55.665478,0,0,0,1,1,0
242,37.608873,55.773369,1,1,0,1,0,1
243,37.497604,55.80154,0,0,0,1,1,0
244,37.929568,55.679018,1,0,0,1,1,0
245,37.699006,55.735978,0,1,0,1,0,1
246,37.551602,55.667535,0,1,0,1,1,1
247,37.77724,55.746179,1,0,0,1,0,0
248,37.757199,55.654227,0,1,0,1,1,1
249,37.394714,55.923672,0,1,1,0,0,0
250,37.742543,55.597147,1,1,0,1,0,0
251,37.742683,55.699852,0,1,0,1,1,1
252,37.44058,55.849475,0,1,0,1,0,0
253,37.373064,55.738322,0,0,0,1,0,0
254,37.667227,55.695928,1,1,0,1,0,0
255,37.752596,55.700777,0,1,0,1,0,1
256,37.771565,55.704695,0,1,0,1,0,0
257,37.438735,55.855787,0,1,0,1,1,0
258,37.730398,55.784338,0,1,0,1,1,0
259,37.281439,55.78911,0,0,0,1,0,0
260,37.706248,55.787879,1,1,0,1,0,0
261,37.6446,55.679066,0,1,0,1,0,0
262,37.517538,55.736558,0,1,0,1,0,0
263,37.474816,55.76909,0,0,0,1,1,1
264,37.572298,55.747079,1,1,1,0,1,0
265,37.564713,55.539365,1,1,0,1,0,0
266,37.758561,55.755762,1,1,0,1,0,0
267,37.664373,55.594358,1,0,0,1,1,0
268,37.750139,55.636336,1,1,0,1,1,0
269,37.463604,55.702669,1,0,1,0,0,0
270,37.841463,55.74072,1,0,0,1,0,0
271,37.640759,55.86692,0,1,1,0,1,1
272,37.621297,55.701684,0,0,0,1,0,1
273,37.792625,55.713749,1,1,0,1,1,0
274,37.745397,55.64962,1,0,0,1,0,0
275,37.575034,55.808667,0,1,0,1,0,1
276,37.562352,55.854769,0,1,0,1,0,1
277,37.39818,55.651823,0,1,0,1,0,0
278,37.589604,55.707614,0,0,0,1,1,0
279,37.783517,55.753045,0,0,0,0,1,0
280,37.528117,55.697809,0,0,0,1,0,1
281,37.4793,55.58034,0,0,0,1,0,0
282,37.70761,55.791758,0,1,0,1,1,0
283,37.621983,55.621266,0,0,0,1,0,0
284,37.488688,55.645885,0,1,0,1,0,0
285,37.73735,55.685817,0,1,0,1,0,0
286,37.581568,55.710504,1,1,0,1,0,0
287,37.608272,55.60696,0,1,0,1,1,1
288,37.630481,55.752779,1,1,1,0,0,0
289,37.59515,55.583433,0,0,0,1,1,0
290,37.485502,55.666331,1,1,0,1,0,0
291,37.180481,55.981164,1,1,0,1,1,0
292,37.732222,55.827227,1,0,1,0,0,0
293,37.777594,55.762402,1,1,0,1,1,0
294,37.572491,55.800437,0,1,0,1,1,0
295,37.50122,55.82748,1,0,0,1,0,0
296,37.685777,55.787982,0,1,0,1,1,0
297,37.541474,55.657822,0,0,0,1,0,0
298,37.740752,55.7568,0,1,0,1,0,0
299,37.606394,55.621841,1,0,0,1,0,0
300,37.661422,55.66785,0,1,0,1,1,1
301,37.58425,55.815022,0,1,0,1,1,0
302,37.555068,55.670718,0,0,0,1,0,1
303,37.519448,55.670657,0,0,0,1,1,1
304,37.552106,55.667226,0,0,0,0,1,0
305,37.695379,55.790642,0,1,0,1,0,0
306,37.485362,55.883315,0,1,0,1,1,0
307,37.541281,55.657889,0,1,0,1,1,1
308,37.247976,55.736927,1,0,0,1,1,0
309,37.535541,55.662803,0,0,0,0,1,0
310,37.605761,55.76903,1,0,0,1,1,0
311,37.650146,55.707911,0,0,0,1,1,0
312,37.673943,55.71187,0,1,0,1,0,0
313,37.8214,55.716487,0,1,0,1,1,0
314,37.466877,55.603196,1,0,0,1,0,1
315,37.591717,55.575737,1,0,0,0,0,0
316,37.419391,55.660612,0,0,0,0,0,0
317,37.717513,55.785635,1,1,0,1,1,0
318,37.417642,55.849463,1,0,0,1,0,1
319,37.600601,55.57564,0,0,0,1,0,0
320,37.862127,55.743866,0,1,0,1,0,0
321,37.769741,55.78996,1,0,0,1,1,0
322,37.413511,55.690189,0,0,1,0,0,0
323,37.379308,55.726941,0,1,1,0,0,0
324,37.797571,55.724119,1,0,0,1,0,1
325,37.741889,55.621902,0,1,0,1,0,0
326,37.74367,55.647441,0,0,0,1,0,1
327,37.226014,55.985215,1,0,0,1,0,0
328,37.439808,55.846229,1,0,0,1,0,1
329,37.231121,55.513568,1,0,0,1,1,0
330,37.473539,55.81331,0,1,0,1,0,1
331,37.729561,55.646393,1,0,0,1,1,1
332,37.676518,55.786058,0,0,0,1,1,1
333,37.717245,55.611069,0,0,0,0,0,1
334,37.518278,55.703504,0,1,0,1,0,0
335,37.72998,55.657604,0,1,0,1,0,0
336,37.705142,55.718433,1,1,0,1,1,1
337,37.451835,55.82513,1,0,0,1,1,0
338,37.203612,55.748335,0,1,0,1,1,0
339,37.540841,55.908785,0,0,0,1,1,0
340,37.362764,55.611093,0,0,0,1,0,0
341,37.804416,55.75639,0,0,0,1,1,1
342,37.454163,55.681202,0,1,0,1,1,1
343,37.759141,55.695251,0,0,0,1,1,0
344,37.702975,55.732753,1,1,0,1,0,1
345,37.087955,55.325604,1,0,0,1,0,0
346,37.403319,55.658693,0,1,0,1,0,0
347,37.616801,55.625052,0,1,0,1,1,1
348,37.48504,55.850234,1,0,0,1,0,0
349,37.54112,55.544859,1,0,0,1,1,0
350,37.417202,55.546795,1,0,0,1,0,0
351,37.513665,55.706514,0,0,0,1,1,1
352,37.664073,55.644577,1,0,0,1,1,0
353,37.659642,55.625943,0,0,0,1,1,0
354,37.538309,55.647489,0,1,0,1,1,0
355,37.937186,55.710758,1,1,0,1,0,0
356,37.601953,55.607905,1,1,0,1,1,0
357,37.430431,55.877128,1,1,1,0,0,0
358,37.486736,55.674112,0,0,0,1,0,1
359,37.683084,55.872572,0,1,1,0,1,0
360,37.782315,55.719007,1,1,0,1,0,1
361,37.789879,55.720748,0,1,0,1,1,1
362,37.433617,55.849975,0,0,0,1,0,0
363,37.584904,55.905718,0,1,1,0,0,0
364,37.657002,55.813918,1,0,0,1,0,0
365,37.477133,55.734498,0,1,1,0,0,0
366,37.729229,55.592206,0,1,0,1,0,1
367,37.53891,55.907414,1,1,1,0,0,0
368,37.75001,55.788633,1,1,1,0,1,0
369,37.837987,55.735157,1,1,1,0,0,0
370,37.732136,55.765487,1,1,1,0,1,0
371,37.529919,55.905808,1,1,0,1,0,0
372,37.56247,55.677814,0,1,0,1,1,1
373,37.366186,55.860002,0,1,0,1,0,0
374,37.678514,55.57285,0,0,0,1,0,0
375,37.588112,55.707064,1,0,0,1,0,0
376,37.496606,55.842181,1,0,0,1,1,0
377,37.765138,55.648627,0,1,0,1,0,0
378,37.668278,55.707886,0,0,0,1,0,0
379,37.514759,55.746735,1,1,1,0,0,0
380,37.608819,55.767068,0,1,1,0,1,0
381,37.586997,55.90413,1,1,1,0,1,0
382,37.59971,55.504169,0,1,0,1,0,0
383,37.664555,55.679181,1,0,0,1,0,0
384,37.819437,55.757289,0,1,0,1,0,0
385,37.71571,55.751318,0,1,0,1,0,0
386,37.831807,55.767756,0,1,0,1,1,0
387,37.447382,55.879975,1,1,0,1,1,0
388,37.394768,55.70484,0,1,1,0,0,0
389,37.530026,55.826034,0,1,0,1,0,1
390,37.578413,55.521829,0,1,0,1,0,0
391,37.62135,55.683446,0,1,0,1,0,0
392,37.668622,55.571806,0,1,0,1,0,0
393,37.730742,55.612293,0,1,0,1,0,0
394,37.862964,55.684492,0,1,0,1,1,0
395,37.687054,55.716258,1,1,1,0,0,0
396,37.66139,55.57234,0,1,0,1,0,0
397,37.41437,55.562828,0,0,0,1,0,0
398,37.1974,56.004026,0,0,0,1,1,1
399,37.565807,55.817379,0,1,0,1,0,0
400,37.582104,55.786564,1,1,0,1,0,0
401,37.797089,55.711362,0,1,0,1,1,0
402,37.777745,55.703891,0,1,1,0,0,0
403,37.8451,55.744199,1,1,0,1,0,1
404,37.373021,55.518549,1,1,0,1,0,0
405,37.352411,55.828269,1,1,0,1,1,0
406,37.611995,55.667045,1,1,0,1,0,0
407,37.749807,55.700469,1,1,1,0,1,1
408,37.267256,55.503009,0,0,0,1,0,1
409,37.59956,55.884982,0,1,1,0,1,0
410,37.786821,55.760658,1,1,0,1,1,0
411,37.383642,55.522606,0,0,1,0,0,0
412,37.377216,55.639921,0,0,0,1,0,0
413,37.705754,55.887016,1,1,0,1,1,0
414,37.462403,55.705825,1,1,0,1,1,0
415,37.784214,55.76463,1,1,0,1,0,1
416,37.863876,55.74418,0,1,0,1,1,1
417,37.608401,55.659317,0,0,0,1,1,0
418,37.529844,55.883441,0,1,0,1,0,0
419,37.526186,55.663577,1,0,0,1,0,0
420,37.82272,55.823557,0,1,0,1,1,0
421,37.613786,55.598068,1,1,0,1,1,0
422,37.724583,55.589611,0,1,0,1,0,0
423,37.379007,55.838681,1,0,0,1,1,0
424,37.601287,55.611469,1,1,0,1,0,0
425,37.576869,55.661816,0,0,0,1,1,1
426,37.450011,55.647271,0,1,1,0,0,0
427,37.61354,55.729787,1,0,0,1,0,0
428,37.619848,55.854083,1,1,0,1,1,1
429,37.542472,55.790425,0,0,0,1,1,0
430,37.332122,55.751185,0,0,0,1,0,0
431,37.432855,55.859316,0,0,0,1,1,0
432,37.583971,55.619242,0,0,0,1,1,0
433,37.758722,55.640859,0,0,0,1,1,1
434,37.489139,55.763386,0,0,0,1,0,0
435,37.431632,55.750201,0,0,0,1,1,0
436,37.730473,55.615619,0,0,0,0,1,0
437,37.558393,55.794333,0,1,0,1,1,0
438,37.768292,55.674269,0,0,0,1,1,0
439,37.804084,55.710123,0,0,0,0,0,0
440,37.420936,55.70218,1,1,0,1,1,1
441,37.458175,55.706188,0,1,0,1,0,1
442,37.849563,55.711779,1,1,0,1,0,0
443,37.686957,55.885192,1,0,0,1,1,1
444,37.356509,55.602402,0,0,0,1,1,1
445,37.498151,55.768969,1,1,0,1,0,0
446,37.833534,55.815148,0,1,0,1,1,0
447,37.922015,55.701871,0,0,0,1,1,1
448,37.40761,55.764225,0,0,0,1,1,0
449,37.601631,55.8937,0,0,0,1,0,0
450,37.182326,55.974975,0,0,0,1,1,0
451,37.511691,55.713622,0,0,0,1,1,0
452,37.438853,55.841543,1,0,0,1,0,0
453,37.573006,55.830939,0,0,0,1,0,0
454,37.471286,55.631763,0,0,0,1,0,0
455,37.367871,55.843542,0,0,0,1,1,0
456,37.545562,55.878146,0,0,0,1,1,1
457,37.331951,55.499326,1,1,0,1,0,0
458,37.821529,55.762113,1,1,0,1,0,0
459,37.657624,55.775608,1,1,0,1,0,1
460,37.579808,55.608839,0,1,0,1,1,0
461,37.569981,55.841506,1,1,0,1,0,0
462,37.528192,55.652392,1,0,0,1,0,0
463,37.557685,55.876214,1,1,0,0,1,0
464,37.454002,55.834162,0,0,0,1,0,0
465,37.825069,55.776694,0,0,0,1,1,0
466,37.40599,55.850457,0,0,0,0,1,1
467,37.554971,55.758756,0,0,0,1,1,0
468,37.789214,55.791661,1,0,0,1,1,0
469,37.484343,55.805128,1,0,0,1,0,0
470,37.665317,55.887635,1,0,0,1,1,0
471,37.567738,55.810699,0,0,0,1,1,0
472,37.403383,55.848452,1,0,0,0,1,0
473,37.600751,55.688823,0,0,0,1,1,0
474,37.572963,55.675594,0,0,0,1,1,0
475,37.348033,55.602772,0,0,0,1,1,0
476,37.862545,55.733689,0,0,0,0,1,0
477,37.769762,55.807299,0,0,0,0,1,1
478,37.764752,55.737597,0,0,0,1,1,1
479,37.788184,55.799128,0,0,0,1,1,1
480,37.744185,55.657011,1,0,0,1,0,0
481,37.446824,55.829571,0,0,0,1,1,0
482,37.642765,55.573226,0,0,0,1,0,0
483,37.723746,55.685194,0,0,0,1,1,1
484,37.759184,55.662736,0,0,0,1,1,0
485,37.562771,55.548039,0,0,0,1,1,0
486,37.819963,55.802897,1,0,0,1,1,0
487,37.770921,55.699453,0,0,0,1,1,0
488,37.711902,55.750424,0,0,0,1,0,0
489,37.839382,55.807323,0,1,0,1,0,1
490,37.715099,55.792228,0,0,0,1,1,0
491,37.161984,55.980696,1,1,1,0,1,0
492,37.785147,55.723461,0,0,0,1,1,0
493,37.504717,55.542061,0,0,0,1,0,0
494,37.538695,55.63986,0,0,0,1,1,0
495,37.694081,55.780453,0,0,0,1,1,1
496,37.570989,55.656648,0,0,0,1,0,1
497,37.729336,55.649578,0,0,0,1,1,0
498,37.514201,55.673144,0,0,0,0,1,0
499,37.793655,55.801215,0,0,0,1,1,0
500,37.718328,55.82032,0,0,0,1,1,0
501,37.354867,55.831252,0,0,0,1,0,1
502,37.781671,55.801299,1,0,0,1,1,0
503,37.758164,55.638758,1,0,0,1,0,0
504,37.535595,55.755061,0,0,0,0,1,0
505,37.492089,55.80965,0,0,0,1,0,1
506,37.496939,55.788543,0,0,0,0,1,0
507,36.883324,55.443147,1,0,0,0,0,0
508,37.407804,55.76236,0,0,0,0,1,0
509,37.759978,55.679018,0,0,0,1,1,0
510,37.818321,55.806774,0,0,0,1,1,0
511,37.50049,55.698994,1,0,0,0,0,1
512,37.670016,55.67972,0,0,0,1,1,0
513,37.811916,55.701188,1,1,0,1,0,0
514,37.683384,55.765499,1,1,0,1,0,0
515,37.793655,55.803018,0,0,0,1,0,1
516,37.486296,55.567269,0,0,0,1,1,0
517,37.415013,55.639594,1,0,0,1,0,0
518,37.628528,55.741487,1,0,0,1,1,0
519,37.408791,55.869364,0,0,0,1,0,0
520,37.517334,55.801884,0,0,0,1,1,0
521,37.600676,55.751783,1,1,0,1,0,0
522,37.613325,55.66342,0,0,0,1,0,1
523,37.603412,55.720615,0,0,0,1,0,0
524,37.363172,55.611432,0,0,0,1,0,0
525,37.526336,55.819687,1,0,0,1,0,0
526,37.719305,55.748239,0,1,0,1,1,0
527,37.378407,55.84494,1,0,0,1,0,0
528,37.628421,55.730191,1,1,1,0,0,0
529,37.511315,55.792174,0,1,0,1,0,0
530,37.77444,55.681928,0,1,0,1,0,0
531,37.555808,55.742797,0,0,0,1,0,0
532,37.689468,55.785207,0,0,0,1,1,0
533,37.839757,55.759831,1,0,0,1,0,0
534,37.565507,55.864957,1,0,0,1,0,0
535,37.713264,55.646496,1,1,0,1,1,0
536,37.169312,55.723322,1,0,0,1,0,0
537,37.454731,55.709029,0,0,0,1,0,1
538,37.502282,55.66811,0,0,0,1,1,0
539,37.487594,55.796601,1,1,0,1,0,0
540,37.371229,55.649414,0,0,0,1,0,0
541,37.446342,55.731714,0,0,0,1,1,0
542,37.85216,55.709295,1,1,0,1,0,1
543,37.211058,55.377026,1,0,0,1,0,0
544,37.814244,55.702416,1,1,0,1,1,0
545,37.635373,55.763205,1,0,0,1,1,0
546,37.589325,55.86586,1,1,0,1,1,0
547,37.645319,55.714988,1,0,0,1,1,0
548,37.711848,55.783005,1,1,0,1,0,0
549,37.73573,55.699266,0,1,0,1,0,0
550,37.759366,55.677179,1,0,0,1,0,1
551,37.67066,55.725696,0,1,0,1,1,0
552,37.627809,55.734746,1,0,0,1,1,0
553,37.57983,55.910818,0,1,1,0,0,0
554,37.500415,55.775945,1,0,0,1,0,0
555,37.702267,55.733296,0,1,0,1,0,1
556,37.854595,55.692161,1,0,0,1,0,0
557,37.705475,55.63576,1,0,0,1,0,0
558,37.93063,55.70146,0,1,0,1,1,0
559,37.787765,55.802994,1,1,0,1,1,1
560,37.617499,55.697772,1,0,0,1,1,0
561,37.769569,55.722941,1,0,0,1,0,1
562,37.426214,55.661235,1,1,0,1,1,0
563,37.723339,55.608887,0,1,0,1,1,1
564,37.531443,55.713393,0,0,0,1,1,0
565,37.52566,55.630776,1,0,0,1,1,0
566,37.332305,55.49994,0,0,0,1,1,1
567,37.577223,55.780091,0,0,0,0,1,1
568,37.548534,55.899685,1,1,0,1,0,0
569,37.224866,55.387052,1,0,0,1,0,0
570,37.288767,55.44042,0,1,0,1,0,0
571,37.645072,55.703921,0,1,0,1,1,0
572,37.613164,55.631345,1,0,0,1,1,0
573,37.847439,55.741221,0,1,0,1,1,0
574,37.661937,55.671432,1,1,0,1,0,0
575,37.439218,55.868702,0,0,0,0,1,1
576,37.491682,55.843127,0,0,0,0,1,0
577,37.595987,55.679786,0,0,0,1,0,1
